Number,HintNumber,HintCost,Hint
100,1,50,Look at Amber's web traffic.
100,2,20,Find Amber's hostname and find the IP address that she was most likely using. Then look at the stream:http sourcetype.
100,3,20,Take a look at src_ip=10.0.2.101 and the stream:http sourcetype. Look at the websites that Amber visited over the month of August.
101,1,20,Look for emails to Amber Turing.
101,2,20,Find emails from aturing that were sent to the domain from question 100.
101,3,20,Look at the sourcetype=stream:smtp and filter on the sender=aturing@froth.ly and/or recipient=aturing@froth.ly. Look at the content and body of emails that have something to do with competitors. The name of the CEO should be in the email.
102,1,5,Look at Amber's email traffic.
102,2,20,Find the last email from the domain in question 100.
103,1,20,Look for emails sent from Amber Turing.
103,2,20,Look for aturing@froth.ly sending email to the address listed in question 102.
103,3,20,Search sourcetype=stream:smtp sender=aturing@froth.ly and find the attachment she sent.
104,1,20,Look for emails sent from Amber Turing.
104,2,20,Review the body of emails that Amber has sent.
104,3,20,Review the email with base64-encoded text for body (or content) and decode the base64.
200,1,10,"Do you have access to a network diagram? If you do, use it!"
200,2,20,A Splunk Stream forwarder running in the Frothly on-prem environment would observe http traffic destined for www.brewertalk.com as having an internet routable IP address.
201,1,50,App scanners are often 'noisy' and therefore easy to detect with automated correlation searches.
201,2,75,Drill down into contributing events if you can!
202,1,20,"Analyze all HTTP traffic from the scanning system to www.brewertalk.com, and inspect the different HTTP user agents. A different HTTP user agent often indicates a different HTTP client program was in use."
202,2,30,"For each HTTP user agent, inspect the URI that the user agent is interacting with."
203,1,20,SQL stands for Structured Query Language and it is used to interact with relational databases like mysql. Some common terms in SQL include 'SELECT' 'WHERE' 'FROM' and 'JOIN'.
203,2,25,SQL injection vulnerabilities can arise when a programmer does not properly check user input for characters that might have an impact on how the underlying database query is assembled in his or her code. A single quote character provided as input to a web page ' is often a tell-tale sign of a SQL injection attack.
203,3,30,XML is one of many data formats that can be stored in relational databases like mysql. Some SQL commands in the MySQL database can be used to produce an error that leaks database contents. Look for a SQL command that updates XML.
204,1,100,"Narrow down the events to only those that include the suspected SQL injection traffic. Stream HTTP events contain the details you need. Filter on the source IP, dest, IP, HTTP user agent and URI path."
204,2,150,These events will probably make a lot more sense if you reverse the Splunk event ordering by piping your search results to the reverse command. This will show you the first SQL injection commands at the top of the list and later events below.
204,3,200,There is a lot of data captured in these events. You are looking for two pieces of data in the dest_content field. The first can be found following the string 'XPATH syntax error: '
204,4,250,The other important piece of data in the dest_content field can be extracted with the following regular expression: '<dt>Query:</dt>\s+<dd>\s+(?<sqli_query>[^<]+)' Look for the sqli_query values that are stealing salt values.
205,1,100,His hashed password and salt was stolen via SQLi and captured in Splunk. Also note a 'top 1000' password list is available in a Splunk lookup table file called 'top_1000.csv'. Use '| inputlookup top_1000.csv' to inspect it.
205,2,150,"By inspecting the code for this forum software, it can be determined that the stored password hash is computed as follows: md5( md5(salt) + md5(plaintext password) ) where '+' is simple string concatenation."
205,3,200,"The Splunk eval command includes an md5 hash function. Beware that the exploit used in this attack chops the final character from the password hash and includes it as a single character string in the next SQLi extraction. When you use this string, either add the character back to the end of the hash, or just use a wildcard match on the beginning of it."
205,4,300,Btun's salt value is 'tlX7cQPE' and his complete password hash is 'f91904c1dd2723d5911eeba409cc0d14'
206,1,50,The attack is obscured in the logs by URL encoding.
206,2,100,Splunk has the capability to URLdecode strings. Check your quick reference guide or Google for it.
206,3,100,Try using | eval decoded_uri=urldecode(uri)
206,4,100,Don't forget to check if others on your team have investigated this before.
207,1,20,Check out sourcetype=stream:http
207,2,30,Inspect the uri_query field.
208,1,50,"Anti-CSRF tokens are usually hidden form elements set when the browser loads an HTML page containing a form. If the form is submitted without the anti-CSRF token, the backend code of the website rejects the transaction as it might have come from a malicious source rather than from a legitimate user of the form."
208,2,100,"One of the many ways that an attacker can abuse a cross site scripting vulnerability is to use it to defeat CSRF protections. If you carefully inspect XSS attacks in the data set, you will stumble on some malicious code that is stealing the anti-CSRF token."
208,3,150,"On brewertalk.com, users created with usergroup=4 are administrators."
208,4,200,The name of the anti-CSRF token is my_post_key
