_key,_user,Number,BasePoints,AdditionalBonusPoints,Question,StartTime,EndTime,AdditionalBonusInstructions
,nobody,1,50,5,This is a simple question to get you familiar with submitting answers. What is the name of the company that makes the software that you are using for this competition? Answer guidance: A six-letter word with no punctuation.,0,1893455999,"After answering a question correctly, you may see this prompt for more information. Please paste your splunk search, or describe the technique you used to answer the question. In this case, just enter anything to see how it works and earn 5 points in the process."
,nobody,100,100,5,"Amber Turing was hoping for Frothly to be acquired by a potential competitor which fell through, but visited their website to find contact information for their executive team. What is the website domain that she visited? Answer guidance: Do not provide the FQDN. Answer example: google.com",0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,101,100,5,Amber found the executive contact information and sent him an email. What is the CEO's name? Provide the first and last name.,0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,102,100,5,"After the initial contact with the CEO, Amber contacted another employee at this competitor. What is that employee's email address?",0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,103,100,5,What is the name of the file attachment that Amber sent to a contact at the competitor?,0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,104,500,5,What is Amber's personal email address?,0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,105,500,5,What version of TOR did Amber install to obfuscate her web browsing? Answer guidance: Numeric with one or more delimiter.,0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,200,100,5,What is the public IPv4 address of the server running www.brewertalk.com?,0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,201,500,5,Provide the IP address of the system used to run a web vulnerability scan against www.brewertalk.com.,0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
,nobody,202,100,5,The IP address from question 201 is also being used by a likely different piece of software to attack a URI path. What is the URI path? Answer guidance: Include the leading forward slash in your answer. Do not include the query string or other parts of the URI. Answer example: /phpinfo.php,0,1893455999,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question?"
