_key,AdditionalBonusInstructions,AdditionalBonusPoints,BasePoints,EndTime,Number,Question,StartTime
,"After answering a question correctly, you will get a prompt to earn bonus points. Please paste your Splunk search, or describe the technique you used to answer the question. In this case, just enter anything to see how it works and earn 5 points in the process.",5,50,1893455999,1,This is a simple question to get you familiar with submitting answers. What is the name of the company that makes the software that you are using for this competition? Answer guidance: A six-letter word with no punctuation.,0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,100,1893455999,200,"List out the IAM users that accessed an AWS service (successfully or unsuccessfully) in Frothly's AWS environment? Answer guidance: Comma separated without spaces, in alphabetical order. (Example: ajackson,mjones,tmiller)",0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,100,1893455999,201,What field would you use to alert that AWS API activity have occurred without MFA (multi-factor authentication)? Answer guidance: Provide the full JSON path. (Example: iceCream.flavors.traditional),0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,500,1893455999,202,What is the processor number used on the web servers? Answer guidance: Include any special characters/punctuation. (Example: The processor number for Intel Core i7-8650U is i7-8650U.),0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,100,1893455999,203,Bud accidentally makes an S3 bucket publicly accessible. What is the event ID of the API call that enabled public access? Answer guidance: Include any special characters/punctuation.,0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,100,1893455999,204,What is the name of the S3 bucket that was made publicly accessible?,0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,100,1893455999,205,"What is the name of the text file that was successfully uploaded into the S3 bucket while it was publicly accessible? Answer guidance: Provide just the file name and extension, not the full path. (Example: filename.docx instead of /mylogs/web/filename.docx)",0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,100,1893455999,206,What is the size (in megabytes) of the .tar.gz file that was successfully uploaded into the S3 bucket while it was publicly accessible? Answer guidance: Round to two decimal places without the unit of measure. Use 1024 for the byte conversion. Use a period (not a comma) as the radix character.,0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,100,1893455999,208,A Frothly endpoint exhibits signs of coin mining activity. What is the name of the first process to reach 100 percent CPU processor utilization time from this activity on this endpoint? Answer guidance: Include any special characters/punctuation.,0
,"Nice work! For 5 bonus points, please enter the most helpful Splunk search you ran (or a brief description of any other site or technique you used) to answer this question.",5,500,1893455999,209,"When a Frothly web server EC2 instance is launched via auto scaling, it performs automated configuration tasks after the instance starts. How many packages and dependent packages are installed by the cloud initialization script? Answer guidance: Provide the number of installed packages then number of dependent packages, comma separated without spaces.",0
